@RELATION engajamento_ead

@ATTRIBUTE percentual_videos_vistos NUMERIC
@ATTRIBUTE percentual_exercicios_entregues NUMERIC
@ATTRIBUTE posts_iniciados_forum NUMERIC
@ATTRIBUTE respostas_em_posts NUMERIC
@ATTRIBUTE media_tempo_sessao_min NUMERIC
@ATTRIBUTE regularidade_acesso {Regular, Irregular}
@ATTRIBUTE nivel_engajamento {Alto, Medio, Baixo}

@DATA
88,92,3,5,35,Regular,Alto
95,85,2,10,45,Regular,Alto
80,81,5,3,25,Regular,Alto
25,15,0,0,8,Irregular,Baixo
10,20,0,0,12,Irregular,Baixo
5,8,0,0,5,Irregular,Baixo
70,75,1,1,22,Irregular,Medio
55,60,0,0,18,Regular,Medio
90,95,0,0,50,Regular,Medio
45,30,3,6,15,Irregular,Medio
28,40,1,0,19,Irregular,Medio
85,88,4,6,33,Regular,Alto
92,91,2,8,41,Regular,Alto
15,10,0,0,7,Irregular,Baixo
8,12,0,0,10,Irregular,Baixo
78,65,1,0,30,Regular,Medio
60,85,0,0,28,Regular,Medio
96,90,0,1,40,Regular,Medio
35,50,2,1,14,Irregular,Medio
50,25,0,0,25,Irregular,Medio
82,85,3,7,38,Regular,Alto
18,22,0,0,9,Irregular,Baixo
91,82,6,4,36,Regular,Alto
22,18,0,0,11,Irregular,Baixo
75,70,0,0,23,Regular,Medio
68,72,1,2,26,Irregular,Medio
89,93,2,5,39,Regular,Alto
4,6,0,0,6,Irregular,Baixo
98,95,3,12,52,Regular,Alto
20,11,0,0,13,Irregular,Baixo
65,55,1,1,20,Regular,Medio
72,78,0,0,31,Irregular,Medio
84,80,4,9,34,Regular,Alto
26,24,0,0,14,Irregular,Baixo
93,89,2,7,43,Regular,Alto
12,14,0,0,8,Irregular,Baixo
77,82,0,0,29,Regular,Medio
58,68,1,3,24,Irregular,Medio
90,94,3,4,40,Regular,Alto
2,5,0,0,4,Irregular,Baixo
99,98,4,15,55,Regular,Alto
17,21,0,0,10,Irregular,Baixo
62,50,0,0,19,Irregular,Medio
70,75,2,0,27,Regular,Medio
86,81,5,8,37,Regular,Alto
29,23,0,0,12,Irregular,Baixo
94,90,2,6,42,Regular,Alto
9,11,0,0,7,Irregular,Baixo
76,79,1,2,32,Irregular,Medio
54,65,0,0,21,Regular,Medio
81,86,3,5,36,Regular,Alto
23,19,0,0,11,Irregular,Baixo
97,92,3,11,50,Regular,Alto
14,16,0,0,9,Irregular,Baixo
67,60,2,1,23,Irregular,Medio
73,77,0,0,28,Regular,Medio
87,83,4,7,38,Regular,Alto
